2015.01.01;26577;0;
2015.01.02;34588;0;
2015.01.03;33740;0;
2015.01.04;32790;0;
2015.01.05;56849;1;
2015.01.06;55684;0;
2015.01.07;39188;0;
2015.01.08;53156;0;
2015.01.09;55385;1;
2015.01.10;38681;0;
2015.01.11;34898;0;
2015.01.12;92954;2;
2015.01.13;95278;0;
2015.01.14;49073;0;
2015.01.15;98677;0;
2015.01.16;97904;0;
2015.01.17;44324;0;
2015.01.18;37186;0;
2015.01.19;96246;0;
2015.01.20;100277;0;
2015.01.21;102331;0;
2015.01.22;101440;0;
2015.01.23;100255;0;
2015.01.24;46337;0;
2015.01.25;40521;0;
2015.01.26;101455;0;
2015.01.27;103334;0;
2015.01.28;103065;0;
2015.01.29;102775;2;
2015.01.30;99493;1;
2015.01.31;46461;1;
2015.02.01;37819;0;
2015.02.02;100590;0;
2015.02.03;101022;0;
2015.02.04;101809;0;
2015.02.05;102807;0;
2015.02.06;98024;1;
2015.02.07;44176;0;
2015.02.08;38261;0;
2015.02.09;98618;1;
2015.02.10;103164;0;
2015.02.11;102673;0;
2015.02.12;104215;0;
2015.02.13;98587;1;
2015.02.14;45611;0;
2015.02.15;39519;0;
2015.02.16;99490;0;
2015.02.17;102096;2;
2015.02.18;103651;1;
2015.02.19;102271;1;
2015.02.20;98710;0;
2015.02.21;44144;1;
2015.02.22;39269;0;
2015.02.23;74587;0;
2015.02.24;101034;0;
2015.02.25;103359;0;
2015.02.26;102446;0;
2015.02.27;100394;0;
2015.02.28;48072;0;
2015.03.01;40094;0;
2015.03.02;100198;4;
2015.03.03;100935;3;
2015.03.04;103451;5;
2015.03.05;102438;5;
2015.03.06;94866;5;
2015.03.07;42066;0;
2015.03.08;35409;0;
2015.03.09;49500;0;
2015.03.10;99563;1;
2015.03.11;102739;0;
2015.03.12;104585;2;
2015.03.13;101606;2;
2015.03.14;43772;0;
2015.03.15;39919;0;
2015.03.16;103074;1;
2015.03.17;105303;0;
2015.03.18;106822;2;
2015.03.19;105588;1;
2015.03.20;102377;0;
2015.03.21;44958;0;
2015.03.22;39140;0;
2015.03.23;100117;0;
2015.03.24;102807;3;
2015.03.25;104325;0;
2015.03.26;104269;0;
2015.03.27;101252;0;
2015.03.28;46419;0;
2015.03.29;38611;0;
2015.03.30;102513;0;
2015.03.31;105130;0;
2015.04.01;104721;0;
2015.04.02;104527;0;
2015.04.03;101088;0;
2015.04.04;44862;0;
2015.04.05;37843;0;
2015.04.06;99695;0;
2015.04.07;104746;0;
2015.04.08;105219;0;
2015.04.09;104813;1;
2015.04.10;100099;1;
2015.04.11;43511;1;
2015.04.12;34361;0;
2015.04.13;72968;0;
2015.04.14;100794;4;
2015.04.15;104642;8;
2015.04.16;105498;0;
2015.04.17;101352;3;
2015.04.18;44395;0;
2015.04.19;37774;0;
2015.04.20;98883;0;
2015.04.21;103479;0;
2015.04.22;105996;0;
2015.04.23;105828;3;
2015.04.24;103779;5;
2015.04.25;44862;1;
2015.04.26;40222;0;
2015.04.27;102137;1;
2015.04.28;104995;0;
2015.04.29;104517;0;
2015.04.30;99826;0;
2015.05.01;48358;0;
2015.05.02;39376;0;
2015.05.03;37001;0;
2015.05.04;51190;0;
2015.05.05;93426;0;
2015.05.06;97331;0;
2015.05.07;95900;0;
2015.05.08;94663;0;
2015.05.09;44810;0;
2015.05.10;37488;1;
2015.05.11;48175;0;
2015.05.12;98235;0;
2015.05.13;102893;0;
2015.05.14;102896;9;
2015.05.15;99099;3;
2015.05.16;43592;1;
2015.05.17;36801;0;
2015.05.18;98615;0;
2015.05.19;101175;0;
2015.05.20;102620;1;
2015.05.21;101875;1;
2015.05.22;98353;0;
2015.05.23;42833;1;
2015.05.24;37143;0;
2015.05.25;96482;0;
2015.05.26;99827;1;
2015.05.27;101344;1;
2015.05.28;100605;1;
2015.05.29;98539;1;
2015.05.30;43848;0;
2015.05.31;35954;0;
2015.06.01;73895;0;
2015.06.02;99400;0;
2015.06.03;102352;0;
2015.06.04;101095;0;
2015.06.05;97923;2;
2015.06.06;42226;0;
2015.06.07;37875;0;
2015.06.08;98302;0;
2015.06.09;99248;1;
2015.06.10;101427;0;
2015.06.11;99334;1;
2015.06.12;76057;6;
2015.06.13;40578;0;
2015.06.14;38499;0;
2015.06.15;97845;1;
2015.06.16;101457;1;
2015.06.17;101777;0;
2015.06.18;102287;0;
2015.06.19;98336;0;
2015.06.20;43433;0;
2015.06.21;37502;0;
2015.06.22;98666;0;
2015.06.23;100678;1;
2015.06.24;101190;1;
2015.06.25;102536;0;
2015.06.26;99081;8;
2015.06.27;44293;0;
2015.06.28;38268;0;
2015.06.29;76417;0;
2015.06.30;101252;0;
2015.07.01;101823;0;
2015.07.02;100518;0;
2015.07.03;95732;1;
2015.07.04;41654;0;
2015.07.05;37112;0;
2015.07.06;95419;0;
2015.07.07;99253;1;
2015.07.08;100147;0;
2015.07.09;100008;1;
2015.07.10;96745;0;
2015.07.11;43546;1;
2015.07.12;39091;0;
2015.07.13;97758;0;
2015.07.14;99824;0;
2015.07.15;98247;0;
2015.07.16;99068;0;
2015.07.17;92676;0;
2015.07.18;41512;0;
2015.07.19;37204;0;
2015.07.20;94543;1;
2015.07.21;96932;0;
2015.07.22;97556;0;
2015.07.23;97976;0;
2015.07.24;96227;3;
2015.07.25;43876;0;
2015.07.26;39527;0;
2015.07.27;95858;1;
2015.07.28;97571;0;
2015.07.29;97473;0;
2015.07.30;96623;0;
2015.07.31;95176;0;
2015.08.01;41503;0;
2015.08.02;38020;0;
2015.08.03;93887;0;
2015.08.04;95934;1;
2015.08.05;96341;0;
2015.08.06;97139;0;
2015.08.07;92878;1;
2015.08.08;41624;0;
2015.08.09;36858;2;
2015.08.10;93110;1;
2015.08.11;93928;0;
2015.08.12;93965;0;
2015.08.13;94659;0;
2015.08.14;92196;1;
2015.08.15;41507;0;
2015.08.16;37518;0;
2015.08.17;92446;1;
2015.08.18;94902;0;
2015.08.19;95620;1;
